FID,REPORTDATE,BLOCKADD,OFFENSE
221,2018-01-05 00:00:00,1600 Block 29th St,Theft From Vehicle
222,2018-01-05 00:00:00,4700 Block Arapahoe Ave,Assault
223,2018-01-06 00:00:00,5000 Block Valmont Rd,Burglary
224,2018-01-06 00:00:00,5200 Block Manhattan Cir,Incident
225,2018-01-05 00:00:00,Crime occurred at an unknown location,Incident
226,2018-01-05 00:00:00,1300 Block Broadway,Trespassing
227,2018-01-08 00:00:00,1500 Block Pearl St,Vandalism
228,2018-01-09 00:00:00,3100 Block Corona Tr,Burglary
229,2018-01-09 00:00:00,2600 Block Broadway,Trespassing
230,2018-01-09 00:00:00,1300 Block Glen Ct,Trespassing
231,2018-01-09 00:00:00,3100 Block Pearl Py,Burglary
232,2018-01-09 00:00:00,Broadway & Euclid Ave,Vandalism
233,2018-01-09 00:00:00,2200 Block Junction Pl,Vandalism
234,2018-01-10 00:00:00,1730 Block 38th St,Incident
235,2018-01-09 00:00:00,500 Block Utica Ct,Burglary
236,2018-01-09 00:00:00,3000 Block Arnett St,Vandalism
237,2018-01-10 00:00:00,700 Block Pearl St,Trespassing
238,2018-01-10 00:00:00,4700 Block Walnut St,Burglary
239,2018-01-11 00:00:00,2900 Block Baseline Rd,Vandalism
240,2018-01-11 00:00:00,Broadway & Canyon Bv,Trespassing
241,2018-01-11 00:00:00,1000 Block College Ave,Vandalism
242,2018-01-11 00:00:00,1000 Block 14th St,Theft From Vehicle
243,2018-01-11 00:00:00,1400 Block Folsom St,Theft From Vehicle
244,2018-01-11 00:00:00,900 Block Canyon Bv,Assault
245,2018-01-11 00:00:00,Canyon Blvd & Folsom St,Sex Assault
246,2017-12-28 00:00:00,1600 Block 29th St,Incident
247,2017-12-26 00:00:00,2300 Block Spotswood Pl,Burglary
248,2017-12-26 00:00:00,3000 Block Arapahoe Ave,Trespassing
249,2018-01-13 00:00:00,3100 Block Iris Ave,Trespassing
250,2018-01-16 00:00:00,3300 Block Iris Ave,Burglary
251,2018-01-13 00:00:00,30th St & E Aurora Ave,Vandalism
252,2018-01-03 00:00:00,5700 Block Central Ave,Burglary
253,2018-01-10 00:00:00,1700 Block Redwood Ave,Theft From Vehicle
254,2018-01-10 00:00:00,1400 Block Canyon Bv,Trespassing
255,2018-01-10 00:00:00,1500 Block Greenbriar Blvd,Vandalism
256,2018-01-10 00:00:00,1100 Block Broadway,Vandalism
257,2018-01-10 00:00:00,4000 Block Baseline Rd,Incident
258,2018-01-10 00:00:00,1300 Block Pennsylvania Ave,Vandalism
259,2018-01-10 00:00:00,1800 Block 28th St,Trespassing
260,2018-01-13 00:00:00,1000 Block Pearl St,Burglary
261,2018-01-13 00:00:00,1100 Block Grandview Ave,Burglary
262,2018-01-13 00:00:00,900 Block Pine St,Sex Assault
263,2018-01-14 00:00:00,700 Block 17th St,Vandalism
264,2018-01-14 00:00:00,3100 Block Broadway,Auto Theft
265,2018-01-14 00:00:00,2800 Block Arapahoe Ave,Vandalism
266,2018-01-14 00:00:00,2900 Block Baseline Rd,Trespassing
267,2018-01-12 00:00:00,3300 Block Berkley Ct,Auto Theft
268,2018-01-13 00:00:00,1800 Block 30th St,Trespassing
269,2018-01-15 00:00:00,1900 Block Canyon Bv,Vandalism
270,2018-01-16 00:00:00,2700 Block Moorhead Ave,Theft From Vehicle
271,2018-01-17 00:00:00,1300 Block College Ave,Trespassing
272,2018-01-16 00:00:00,1400 Block Pearl St,Burglary
273,2018-01-16 00:00:00,4900 Block Osage Dr,Auto Theft
274,2018-01-16 00:00:00,1000 Block Adams Cr,Vandalism
275,2018-01-12 00:00:00,700 Block 19th St,Theft From Vehicle
276,2018-01-12 00:00:00,2900 Block Lorraine Ct,Theft From Vehicle
277,2018-01-13 00:00:00,800 Block Mohawk Dr,Theft From Vehicle
278,2018-01-13 00:00:00,1400 Block Walnut St,Trespassing
279,2018-01-16 00:00:00,1000 Block Poplar Ave,Incident
280,2018-01-17 00:00:00,3200 Block 30th St,Incident
281,2018-01-17 00:00:00,4700 Block Table Mesa Dr,Trespassing
282,2017-01-18 00:00:00,800 Block W Moorhead Cr,Vandalism
283,2018-01-18 00:00:00,2200 Block Walnut St,Vandalism
284,2018-01-18 00:00:00,4800 Block Macintosh Pl,Auto Theft
285,2018-01-19 00:00:00,1800 Block 28th St,Trespassing
286,2018-01-19 00:00:00,1700 Block 30th St,Vandalism
287,2018-01-19 00:00:00,2700 Block Taft Dr,Trespassing
288,2018-01-19 00:00:00,4800 Block Thunderbird Dr,Trespassing
